Prénom;Nom;Titre;Durée;Contenu;Link
Howard;Hawks;El Dorado;;Film;IMDb
Howard;Hawks;La captive aux yeux clairs;;Film;IMDb
Howard;Hawks;La chose d'un autre monde;;Film;IMDb
Howard;Hawks;la rivière rouge;;Film;IMDb
Howard;Hawks;La terre des pharaons;;Film;IMDb
Howard;Hawks;Le grand sommeil;;Film;IMDb
Howard;Hawks;Le port de l'angoisse;;Film;IMDb
Howard;Hawks;L'impossible Monsieur Bébé;;Film;IMDb
Howard;Hawks;Rio Bravo;;Film;IMDb
Monte ;Hellman;Backdoor to hell;;Film;IMDb
Walter;Hill;Supernova;;Film;IMDb
John;Hillcoat;The road;;Film;IMDb
Alfred;Hitchcock;La maison du Docteur Edwardes;;Film;IMDb
Alfred;Hitchcock;Le procès Paradine;;Film;IMDb
Alfred;Hitchcock;Les oiseaux;;Film;IMDb
Albert+Allen;Hughes;From hell;;Film;IMDb
Bruce ;Humberstone;Les rivages de Tripoli;;Film;IMDb
John;Huston;Griffes jaunes;;Film;IMDb
John;Huston;La nuit de l'iguane;;Film;IMDb
John;Huston;Le dernier de la liste;;Film;IMDb
John;Huston;Plus fort que le diable;;Film;IMDb
Agnès;Jaoui;Au bout du conte;;Film;IMDb
Norman;Jewison;Le kid de Cincinnati;;Film;IMDb
Norman;Jewison;Only you;;Film;IMDb
Phil;Joanou;Heaven's prisoners;;Film;IMDb
Elia;Kazan;Cirque en révolte;;Film;IMDb
Elia;Kazan;Pinky, l'héritage de la chair;;Film;IMDb
Irving;Kershner;Les yeux de Laura Mars;;Film;IMDb
Buzz;Kulik;Le chasseur;;Film;IMDb
Fritz;Lang;Les contrebandiers de Moonfleet;;Film;IMDb
Georges;Lautner;Est-ce bien raisonnable  !;;Film;IMDb
Georges;Lautner;Flic ou voyou;;Film;IMDb
Georges;Lautner;Le professionnel;;Film;IMDb
David;Lean;Brève rencontre;;Film;IMDb
David;Lean;La fille de Ryan;;Film 1/2;IMDb
David;Lean;La fille de Ryan;;Film 2/2;IMDb
David;Lean;Summertime;;Film;IMDb
Spike;Lee;Clockers;;Film;IMDb
Spike;Lee;Inside man;;Film;IMDb
Robert Z.;Leonard;The bribe;;Film;IMDb
Joshua;Logan;Picnic;;Film;IMDb
Joseph;Losey;La grande nuit;;Film;IMDb
Ernst;Lubitsch;Sérénade à trois;;Film;IMDb
Sidney;Lumet;12 hommes en colère;;Film;IMDb
Sidney;Lumet;A bout de course;;Film;IMDb
Sidney;Lumet;Contre-enquête;;Film;IMDb
Sidney;Lumet;Le gang Anderson;;Film;IMDb
Adrian;Lyne;9 semaines et 1/2;;Film;IMDb
Adrian;Maben;Pink Floyd live at Pompei;;Film;IMDb
Alexander;Mackendrick;Cyclone à la Jamaïque;;Film;IMDb
Alexander;Mackendrick;Le grand chantage;;Film;IMDb
Alexander;Mackendrick;Tueurs de dames;;Film;IMDb
Alexander;Mackendrick;Whisky à gogo;;Film;IMDb
David;Mamet;La prisonnière espagnole;;Film;IMDb
Joseph;Mankiewicz;On murmure dans la ville;;Film;IMDb
Anthony;Mann;La charge des tuniques bleues;;Film;IMDb
Anthony;Mann;La porte du diable;;Film;IMDb
Anthony;Mann;L'appât;;Film;IMDb
Anthony;Mann;Les affameurs;;Film;IMDb
Anthony;Mann;L'homme de l'Ouest;;Film;IMDb
Anthony;Mann;Maldonne pour un espion;;Film;IMDb
Anthony;Mann;Thunder bay;;Film;IMDb
Anthony;Mann;Winchester 73;;Film;IMDb
Michael;Mann;Manhunter;;Film;IMDb
Laetitia;Masson;Coupable;;Film;IMDb
Vincent;McEveety;Les 5 hors-la-loi;;Film;IMDb
Andrew;McLaglen;Bandolero!;;Film;IMDb
Andrew;McLaglen;Rancho Bravo;;Film;IMDb
Fred;McLeod Wilcox;Planète interdite;;Film;IMDb
John;McTiernan;A la poursuite d'Octobre Rouge;;Film;IMDb
John;McTiernan;Predator;;Film;IMDb
Don;Medford;Les charognards;;Film;IMDb
Jean-Pierre;Melville;Les enfants terribles;;Film;IMDb
Victor;Meranda;Le cave est piégé;;Film;IMDb
Fernando;Merirelles;La constance du jardinier;;Film;IMDb
Russ;Meyer;Faster, Pussy Cat Kill! Kill!;;Film;IMDb
Edouard;Molinaro;Le dos au mur;;Film;IMDb
Mario;Monicelli;Mes chers amis;;Film;IMDb
Robert ;Montgomery;La dame du lac;;Film;IMDb
Robert;Mulligan;Un été 42;;Film;IMDb
Jean;Negulesco;Le masque de Dimitrios;;Film;IMDb
Roy William;Neill;La clef;;Film;IMDb
Mike;Nichols;Ce plaisir qu'on dit charnel;;Film;IMDb
Philip;Noyce;Danger immédiat;;Film;IMDb
Philip;Noyce;Jeux de guerre;;Film;IMDb
Philip;Noyce;Un américain bien tranquille;;Film;IMDb
Eliott;Nugent;La brune de mes rêves;;Film;IMDb
Damien;Odoul;L'histoire de Richard O.;;Film;IMDb
Alan;Pakula;Présumé innocent;;Film;IMDb
Brian (de);Palma;Carlito's way;;Film;IMDb
Brian (de);Palma;Furie;;Film;IMDb
Brian (de);Palma;Le bûcher des vanités;;Film;IMDb
Brian (de);Palma;L'esprit de Cain;;Film;IMDb
Alan;Parker;Mississipi burning;;Film;IMDb
Pier Paolo;Pasolini;Accatone;;Film;IMDb
Sam;Peckinpah;Guet-apens;;Film;IMDb
Sam;Peckinpah;La horde sauvage;;Film;IMDb
Sam;Peckinpah;Major Dundee;;Film;IMDb
Sam;Peckinpah;New Mexico;;Film;IMDb
Arthur;Penn;Le gaucher;;Film;IMDb
Arthur;Penn;Missouri breaks;;Film;IMDb
Sean;Penn;The pledge;;Film;IMDb
Franck;Perry;The Swimmer;;Film;IMDb
Elio ;Petri;Enquête sur un citoyen au dessus de tout soupçon;;Film;IMDb
Donald;Petrie;Miss detective;;Film;IMDb
Claude;Pinoteau;Le grand escogriffe;;Film;IMDb
Roman ;Polanski;Chinatown;;Film;IMDb
Roman ;Polanski;What ?;;Film;IMDb
Dick;Powell;Même les assassins tremblent;;Film;IMDb
Michael;Powell;L'espion noir;;Film;IMDb
Otto;Preminger;Autopsie d'un meurtre;;Film;IMDb
Otto;Preminger;Bunny Lake a disparu;;Film;IMDb
Otto;Preminger;Femme ou maîtresse;;Film;IMDb
Otto;Preminger;La guerre des otages;;Film;IMDb
Otto;Preminger;Un si doux visage;;Film;IMDb
Alex ;Proyas;I robot;;Film;IMDb
Burt;Reynolds;L'anti-gang;;Film;IMDb
Dick;Richards;Adieu ma jolie;;Film;IMDb
Michael;Ritchie;Prime cut;;Film;IMDb
Martin;Ritt;Paris Blues;;Film;IMDb
Phil Alden;Robinson;La somme de toutes les peurs;;Film;IMDb
Mark;Robson;La septième victime;;Film;IMDb
Eric;Rohmer;Pauline à la plage;;Film;IMDb
Stuart;Rosenberg;The laughing policeman;;Film;IMDb
Ken ;Russel;Love;;Film;IMDb
Ken ;Russel;The music Lovers  la symphonie Pathétique;;Film;IMDb
Paul;Schrader;Dog eat dog;;Film;IMDb
Barbet;Schroeder;Charles Bukowski;;Film;IMDb
Barbet;Schroeder;Le mystère Von Bulow;;Film;IMDb
Joel;Schumacher;Le droit de tuer ?;;Film;IMDb
Joël ;Schumacher;8 mm;;Film;IMDb
Martin;Scorsese;Les nerfs à vif;01:56:00;Film;IMDb
Martin;Scorsese;Les nerfs à vif;02:02:00;Film;IMDb
Ridley;Scott;Blade runner;;Film;IMDb
Ridley;Scott;Legend;;Film;IMDb
Ridley;Scott;Les duellistes;;Film;IMDb
Tony;Scott;Man on fire;;Film;IMDb
Ron;Shelton;Dark blue;;Film;IMDb
Vincent;Sherman;Ce monde à part;;Film;IMDb
